               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,             0.02984,            0.028025,            0.001475,             0.79204,             0.81312,              0.7778,              0.4252,            0.036012,             0.01464,          0.00054731,             0.00835,             0.00835,             0.00835
                  52,            0.030067,            0.027346,           0.0015275,             0.66195,              0.7388,             0.67991,             0.35971,            0.041495,              0.0151,           0.0004504,            0.008317,            0.008317,            0.008317
                  53,            0.028957,            0.027381,           0.0014546,             0.75454,             0.76211,             0.76743,             0.40438,            0.034715,            0.014646,          0.00044553,            0.008284,            0.008284,            0.008284
                  54,            0.028572,            0.027298,           0.0010843,             0.74341,             0.57284,             0.59616,             0.26292,            0.039869,            0.015217,           0.0012797,            0.008251,            0.008251,            0.008251
                  55,            0.029285,            0.027317,           0.0015503,             0.59607,             0.80495,             0.74657,              0.4054,            0.032632,            0.016212,          0.00055683,            0.008218,            0.008218,            0.008218
                  56,            0.028904,            0.026983,           0.0016571,             0.61631,              0.8075,             0.72959,              0.3931,            0.036179,            0.016336,          0.00054889,            0.008185,            0.008185,            0.008185
                  57,            0.029491,            0.026864,            0.001794,             0.69807,             0.81844,             0.79551,             0.42836,            0.038389,            0.014611,          0.00039239,            0.008152,            0.008152,            0.008152
                  58,            0.028926,            0.027183,           0.0011036,             0.70291,             0.75835,             0.75371,             0.38649,            0.039198,            0.014708,          0.00046427,            0.008119,            0.008119,            0.008119
                  59,            0.029067,            0.027415,           0.0016479,             0.69181,             0.63795,             0.69506,             0.35557,            0.036255,             0.01663,          0.00076404,            0.008086,            0.008086,            0.008086
                  60,            0.029109,            0.027187,           0.0014614,             0.74184,             0.82803,             0.79474,             0.42226,            0.036291,            0.014344,          0.00037873,            0.008053,            0.008053,            0.008053
                  61,            0.028575,            0.027497,           0.0015795,             0.72422,             0.74124,             0.74931,             0.37014,             0.03891,            0.014775,          0.00046642,             0.00802,             0.00802,             0.00802
                  62,            0.029263,             0.02759,           0.0014553,             0.76557,             0.75135,             0.75017,             0.41263,            0.035573,             0.01554,          0.00049474,            0.007987,            0.007987,            0.007987
                  63,            0.028964,            0.026708,           0.0012812,             0.75527,             0.69733,             0.75892,             0.38997,            0.039504,            0.016347,          0.00043838,            0.007954,            0.007954,            0.007954
                  64,            0.028739,            0.027659,           0.0012803,             0.70747,             0.79038,             0.73664,             0.35981,             0.04105,            0.015622,          0.00031357,            0.007921,            0.007921,            0.007921
                  65,            0.028485,            0.027201,           0.0013888,             0.64059,             0.73705,             0.68443,              0.3555,            0.035811,            0.015809,          0.00052671,            0.007888,            0.007888,            0.007888
                  66,            0.029281,            0.026958,           0.0013115,             0.84681,             0.75409,                0.81,             0.39824,             0.03708,            0.015156,          0.00052714,            0.007855,            0.007855,            0.007855
                  67,            0.028861,            0.027399,           0.0017562,             0.71088,             0.69288,             0.71596,             0.33615,            0.039771,             0.01634,          0.00046992,            0.007822,            0.007822,            0.007822
                  68,            0.028827,            0.027087,           0.0016556,             0.47586,             0.53638,             0.45651,             0.20097,            0.045778,            0.015489,           0.0010088,            0.007789,            0.007789,            0.007789
                  69,            0.028912,            0.027484,           0.0015983,             0.81102,             0.72414,             0.80413,             0.46283,            0.035564,            0.014399,          0.00038731,            0.007756,            0.007756,            0.007756
                  70,            0.029025,            0.026865,            0.001282,             0.63973,             0.69165,             0.66106,             0.34109,            0.041148,            0.016338,           0.0004921,            0.007723,            0.007723,            0.007723
                  71,            0.028318,            0.026668,           0.0011352,             0.58752,             0.74276,             0.65206,             0.34688,            0.038339,            0.016137,          0.00045977,             0.00769,             0.00769,             0.00769
                  72,            0.028138,            0.026395,           0.0011308,             0.75121,             0.76812,             0.77314,              0.4047,            0.040883,            0.015061,          0.00042472,            0.007657,            0.007657,            0.007657
                  73,            0.028193,             0.02605,           0.0013043,              0.7405,             0.68518,             0.70173,             0.32985,            0.040419,            0.016537,          0.00054624,            0.007624,            0.007624,            0.007624
                  74,            0.027989,            0.026693,            0.001177,             0.69224,             0.76102,             0.77149,              0.4577,            0.032117,            0.014477,          0.00046291,            0.007591,            0.007591,            0.007591
                  75,            0.028239,            0.026153,           0.0014021,             0.67103,             0.73854,             0.69864,             0.39797,             0.03366,            0.016751,          0.00047293,            0.007558,            0.007558,            0.007558
                  76,            0.028174,            0.026764,           0.0010089,             0.67075,             0.75545,             0.70384,             0.38531,            0.033946,            0.016079,          0.00038924,            0.007525,            0.007525,            0.007525
                  77,            0.027864,            0.026846,            0.001301,             0.71081,             0.68209,             0.71863,             0.41637,            0.034431,            0.015955,          0.00049467,            0.007492,            0.007492,            0.007492
                  78,            0.028073,            0.026084,           0.0014671,             0.68924,             0.81282,              0.7267,             0.38361,            0.034771,            0.015378,          0.00041356,            0.007459,            0.007459,            0.007459
                  79,             0.02775,            0.026292,           0.0014716,             0.70026,             0.80748,              0.7563,              0.4162,            0.036947,             0.01346,          0.00023693,            0.007426,            0.007426,            0.007426
                  80,            0.028625,            0.026165,           0.0015319,             0.64563,             0.70138,             0.70253,             0.38096,             0.03431,            0.015502,          0.00039361,            0.007393,            0.007393,            0.007393
                  81,            0.028069,            0.026022,           0.0017755,             0.78734,             0.69708,             0.76633,             0.40945,            0.033507,            0.015379,          0.00040991,             0.00736,             0.00736,             0.00736
                  82,            0.028203,            0.026997,           0.0016799,             0.73606,             0.75671,              0.7545,             0.45569,            0.034085,             0.01393,          0.00046467,            0.007327,            0.007327,            0.007327
                  83,             0.02778,            0.026308,           0.0018398,             0.74697,             0.70947,             0.69807,             0.38427,            0.037599,            0.015667,          0.00056849,            0.007294,            0.007294,            0.007294
                  84,            0.028288,             0.02639,            0.001717,             0.73626,             0.74516,             0.72845,             0.39591,             0.03713,            0.015708,          0.00070696,            0.007261,            0.007261,            0.007261
                  85,            0.028046,            0.025861,           0.0013979,             0.84006,             0.70525,             0.80835,             0.44456,            0.035816,             0.01513,          0.00080953,            0.007228,            0.007228,            0.007228
                  86,            0.027931,            0.026628,           0.0016185,             0.83806,             0.74721,             0.78352,             0.43189,             0.03898,            0.015784,          0.00050225,            0.007195,            0.007195,            0.007195
                  87,            0.028371,            0.026509,           0.0016984,             0.67478,             0.66866,             0.70133,             0.37845,            0.037997,             0.01664,          0.00057771,            0.007162,            0.007162,            0.007162
                  88,            0.027903,            0.025889,           0.0015769,             0.65164,             0.73491,             0.68848,              0.3844,            0.038974,            0.016197,          0.00053959,            0.007129,            0.007129,            0.007129
                  89,            0.028328,            0.026785,           0.0014305,             0.65987,             0.71912,             0.73668,             0.41715,            0.036065,            0.015717,          0.00044357,            0.007096,            0.007096,            0.007096
                  90,            0.027839,            0.025921,           0.0015411,             0.74898,             0.79375,              0.7867,             0.43323,            0.033808,            0.014432,          0.00037179,            0.007063,            0.007063,            0.007063
                  91,            0.027458,            0.026626,           0.0014725,             0.69006,             0.70601,              0.7296,             0.36937,            0.035694,            0.017712,          0.00039504,             0.00703,             0.00703,             0.00703
                  92,            0.027979,            0.026818,           0.0014853,             0.72777,             0.61168,             0.67755,             0.40157,            0.035532,            0.016588,          0.00068364,            0.006997,            0.006997,            0.006997
                  93,            0.027681,            0.026287,           0.0014253,             0.70774,             0.76631,             0.72993,             0.39081,             0.04025,            0.016106,          0.00058336,            0.006964,            0.006964,            0.006964
                  94,            0.027506,            0.025808,           0.0019671,             0.78205,             0.68014,             0.72247,             0.38476,            0.039046,            0.016959,          0.00076275,            0.006931,            0.006931,            0.006931
                  95,            0.027493,            0.025825,           0.0017073,             0.75888,             0.79761,             0.78303,             0.42697,             0.03763,            0.016151,          0.00068092,            0.006898,            0.006898,            0.006898
                  96,             0.02824,            0.025922,           0.0015154,              0.6768,             0.79331,             0.73646,             0.38153,            0.036206,            0.016179,          0.00047958,            0.006865,            0.006865,            0.006865
                  97,            0.027474,            0.025831,           0.0017031,             0.62844,             0.69104,             0.66812,             0.36136,            0.034042,            0.018437,          0.00053394,            0.006832,            0.006832,            0.006832
                  98,            0.027653,            0.025365,           0.0011366,             0.69244,             0.76034,             0.76489,             0.43985,            0.035127,            0.015679,          0.00043473,            0.006799,            0.006799,            0.006799
                  99,            0.027195,              0.0256,           0.0014459,             0.67387,             0.74463,              0.7123,             0.38794,            0.036877,            0.016892,          0.00051441,            0.006766,            0.006766,            0.006766
                 100,            0.026764,            0.025639,           0.0011966,             0.76461,             0.78742,             0.75918,             0.42178,             0.03597,            0.016817,          0.00073886,            0.006733,            0.006733,            0.006733
                 101,            0.027159,            0.026067,           0.0010714,             0.72242,              0.7352,             0.75696,             0.42718,            0.036424,            0.015822,          0.00060425,              0.0067,              0.0067,              0.0067
                 102,            0.027193,            0.025064,           0.0013997,             0.67411,             0.75473,             0.69976,             0.39619,            0.038463,            0.017061,          0.00064523,            0.006667,            0.006667,            0.006667
                 103,            0.027005,             0.02543,           0.0012821,             0.70893,             0.77462,              0.7386,             0.43269,            0.039779,            0.015854,          0.00054045,            0.006634,            0.006634,            0.006634
                 104,            0.027019,            0.025139,           0.0014225,             0.86715,             0.75149,              0.8049,             0.42439,            0.038046,            0.016777,          0.00042658,            0.006601,            0.006601,            0.006601
                 105,            0.026821,            0.025465,           0.0013202,             0.77633,              0.7092,             0.76149,             0.39124,            0.035818,            0.016525,          0.00043691,            0.006568,            0.006568,            0.006568
                 106,            0.027034,            0.026012,           0.0012252,             0.70855,              0.7642,             0.79698,             0.45347,            0.036602,            0.015494,           0.0004401,            0.006535,            0.006535,            0.006535
                 107,            0.026774,            0.025244,           0.0015924,             0.78336,              0.7563,             0.76562,             0.39571,            0.037171,            0.017648,          0.00049624,            0.006502,            0.006502,            0.006502
                 108,            0.026854,            0.025445,            0.001036,               0.707,             0.67313,             0.70232,             0.41025,            0.037967,            0.015595,          0.00050418,            0.006469,            0.006469,            0.006469
                 109,            0.026593,            0.024899,           0.0012832,             0.74896,             0.69396,             0.71257,             0.41062,            0.037492,            0.017137,          0.00062442,            0.006436,            0.006436,            0.006436
                 110,            0.026747,            0.025586,           0.0011555,             0.68552,             0.73867,             0.72097,             0.36938,            0.038002,            0.018031,          0.00041778,            0.006403,            0.006403,            0.006403
                 111,            0.026871,            0.024276,           0.0011559,             0.68167,             0.71499,             0.68961,             0.39187,            0.036646,            0.017213,           0.0005446,             0.00637,             0.00637,             0.00637
                 112,            0.026325,            0.025063,           0.0015573,             0.81046,             0.70958,             0.75108,             0.40554,            0.037907,            0.016916,           0.0005024,            0.006337,            0.006337,            0.006337
                 113,            0.026382,            0.024522,           0.0012709,             0.75377,             0.78783,             0.76412,             0.39241,            0.038599,            0.016331,          0.00054109,            0.006304,            0.006304,            0.006304
                 114,            0.026517,            0.025633,           0.0015335,             0.77774,             0.76402,             0.75068,             0.42342,             0.04052,            0.016594,          0.00057034,            0.006271,            0.006271,            0.006271
                 115,            0.026409,             0.02481,            0.001227,             0.81873,             0.72155,             0.80702,             0.44335,            0.039875,            0.015515,          0.00058222,            0.006238,            0.006238,            0.006238
